CustomerID,FirstName,LastName,Gender,Phone,Email,City,State,RegionID,SignupDate,Segment,LoyaltyMember
C-00022,Oluchi,Salami,F,09144109853,oluchi.salami844@gmail.com,Kano,Kano,R05,2019-07-10,Occasional,N
C-00023,Safiya,Igwe,F,09031360489,safiya.igwe448@hotmail.com,Lagos,Lagos,R01,2023-07-06,Occasional,N
C-00024,Modupe,Onwudiwe,F,08027910984,modupe.onwudiwe431@gmail.com,Onitsha,Anambra,R06,2019-11-22,Standard,N
C-00025,Chuka,Nwachukwu,M,09175912838,chuka.nwachukwu791@gmail.com,Kano,Kano,R05,2021-05-23,Standard,Y
C-00026,Aisha,Anyanwu,F,08059541169,aisha.anyanwu254@hotmail.com,Warri,Delta,R04,2023-12-20,Occasional,N
C-00027,Adaeze,Afolabi,F,09181120869,adaeze.afolabi104@gmail.com,Lagos,Lagos,R01,2023-05-26,Standard,N
C-00028,Hauwa,Sambo,F,07063029406,hauwa.sambo408@gmail.com,Port Harcourt,Rivers,R04,2019-04-01,Standard,N
C-00029,Hauwa,Bakare,F,07042588877,hauwa.bakare968@gmail.com,Enugu,Enugu,R06,2023-10-17,Occasional,Y
C-00030,Chinedu,Ekwueme,M,09111567265,chinedu.ekwueme326@gmail.com,Lagos,Lagos,R01,2024-07-23,Standard,Y
C-00031,Modupe,Ude,F,09029930804,modupe.ude526@gmail.com,Port Harcourt,Rivers,R04,2024-05-19,Standard,N
C-00032,Ronke,Adesina,F,08094462186,ronke.adesina530@yahoo.com,Kano,Kano,R05,2023-05-01,Standard,N
C-00033,Blessing,Adesina,F,09199844775,blessing.adesina175@gmail.com,Ilorin,Kwara,R03,2019-11-03,Occasional,N
C-00034,Bisi,Akinwande,F,08162128532,bisi.akinwande258@yahoo.com,Enugu,Enugu,R06,2023-04-07,Occasional,N
C-00035,Nasir,Olawale,M,09122221391,nasir.olawale166@yahoo.com, Lagos ,Lagos,R01,2023-09-25,Standard,N
C-00036,Simisola,Eze,F,07014845606,simisola.eze73@gmail.com,PORT HARCOURT,Rivers,R04,2024-01-05,Standard,N
C-00037,Chidinma,Bakare,F,07010695856,,Ibadan,Oyo,R02,2023-01-16,Occasional,Y
C-00038,Hauwa,Soyinka,F,08029590177,hauwa.soyinka164@hotmail.com,Lagos,Lagos,R01,2020-07-28,Standard,Y
C-00039,Safiya,Danjuma,F,09084256288,safiya.danjuma716@outlook.com,Abuja,FCT,R03,2022-02-25,Premium,N
C-00040,Usman,Garba,M,09136521678,usman.garba997@hotmail.com,Lagos,Lagos,R01,2024-04-13,Occasional,Y
C-00041,Chuka,Eze,M,08130531088,chuka.eze723@yahoo.com,Lagos,Lagos,R01,2021-06-30,Standard,N
C-00042,Zainab,Bakare,F,08086558101,zainab.bakare111@outlook.com,Port Harcourt,Rivers,R04,2019-04-14,Occasional,N
C-00043,Bolanle,Musa,F,08086020072,bolanle.musa816@gmail.com,Lagos,Lagos,R01,2020-10-27,Occasional,N
C-00044,Emeka,Adesina,M,09095051589,emeka.adesina372@gmail.com,Ibadan,Oyo,R02,2022-01-03,Occasional,N
C-00045,Usman,Ogunleye,M,09029241102,usman.ogunleye634@hotmail.com,Lagos,Lagos,R01,2021-08-24,Occasional,Y
C-00046,Ifeanyi,Fashola,M,09022126824,ifeanyi.fashola407@gmail.com,Enugu,Enugu,R06,2022-10-17,Standard,Y
C-00047,Bello,Falana,M,08081427969,bello.falana472@gmail.com,Lagos,Lagos,R01,2019-07-23,Standard,N
C-00048,Ayodeji,Okonkwo,M,08170835234,ayodeji.okonkwo907@gmail.com,Onitsha,Anambra,R06,2019-08-08,Occasional,Y
C-00049,Chinedu,Igwe,M,09057350356,chinedu.igwe322@gmail.com,Lagos,Lagos,R01,2020-03-25,Occasional,N
C-00050,Ebuka,Ude,M,07085951665,ebuka.ude29@hotmail.com,Port Harcourt,Rivers,R04,2023-03-03,Occasional,Y
C-00051,Amina,Kalu,F,08081965432,amina.kalu36@gmail.com,Lagos,Lagos,R01,2025-08-04,Occasional,Y
C-00052,Dapo,Adebayo,M,08062138942,dapo.adebayo811@gmail.com,Lagos,Lagos,R01,2022-10-21,Standard,N
C-00053,Chuka,Okafor,M,08149112945,chuka.okafor947@yahoo.com,Port Harcourt,Rivers,R04,2024-03-13,Standard,Y
C-00054,Nasir,Balogun,M,09186079949,nasir.balogun642@gmail.com,Kaduna,Kaduna,R05,2022-07-12,Standard,N
C-00055,Tanko,Bakare,M,07040846871,tanko.bakare743@hotmail.com,Abeokuta,Ogun,R02,2020-01-06,Standard,N
C-00056,Segun,Oladipo,M,08049214539,segun.oladipo145@gmail.com,Lagos,Lagos,R01,2023-04-09,Occasional,N
C-00057,Bolanle,Adebayo,F,07031568525,bolanle.adebayo396@gmail.com,Lagos ,Lagos,R01,2019-11-29,Standard,Y
C-00058,Nasir,Eze,M,09121851041,nasir.eze983@gmail.com,Enugu,Enugu,R06,2022-02-04,Occasional,Y
C-00059,Yetunde,Abubakar,F,08022781275,yetunde.abubakar343@gmail.com,Ibadan,Oyo,R02,2024-11-15,Occasional,N
C-00060,Obinna,Obi,M,07073105114,obinna.obi69@yahoo.com,Lagos,Lagos,R01,2023-10-13,Standard,Y
C-00061,Ifeanyi,Olawale,M,08195217885,ifeanyi.olawale576@gmail.com,Enugu,Enugu,R06,2019-10-10,Occasional,N
C-00062,Aisha,Chikezie,F,08180281594,aisha.chikezie671@gmail.com,Port Harcourt,Rivers,R04,2024-10-26,Standard,Y
C-00063,Gbenga,Chikezie,M,09021618667,gbenga.chikezie531@gmail.com,Kano,Kano,R05,2021-12-29,Standard,Y
C-00064,Chuka,Sambo,M,07034845483,chuka.sambo364@gmail.com,Abuja,FCT,R03,2024-04-28,Occasional,Y
C-00065,Kemi,Nwosu,F,09195659885,kemi.nwosu197@yahoo.com,Abuja,FCT,R03,2022-01-31,Standard,Y
C-00066,Adanna,Fashola,F,09194644045,adanna.fashola192@yahoo.com,Lagos,Lagos,R01,2022-01-04,Standard,N
C-00067,Bello,Suleiman,M,09119492094,bello.suleiman945@hotmail.com,Enugu,Enugu,R06,2023-07-11,Standard,N
C-00068,Bello,Suleiman,M,09088535776,bello.suleiman65@outlook.com,Lagos,Lagos,R01,2021-03-11,Standard,Y
C-00069,Ibrahim,Tanimu,M,08144758289,ibrahim.tanimu308@gmail.com,Benin City,Edo,R04,2024-07-19,Premium,Y
C-00070,Rukayat,Ogbonna,F,08073731142,rukayat.ogbonna311@gmail.com,Benin City,Edo,R04,2021-03-06,Occasional,Y
C-00071,Chinedu,Abdulrahman,M,07088723032,chinedu.abdulrahman190@gmail.com,Enugu,Enugu,R06,2025-07-29,Premium,N
C-00072,Kelechi,Ajayi,M,08083081696,kelechi.ajayi64@gmail.com,Lagos,Lagos,R01,2022-02-06,Standard,Y
C-00073,Nonso,Baba,M,08133088246,nonso.baba987@hotmail.com,Lagos,Lagos,R01,2025-04-05,Occasional,N
C-00074,Tunde,Okafor,M,07055418323,tunde.okafor572@gmail.com,Abuja,FCT,R03,2023-07-13,Occasional,N
C-00075,Segun,Iheanacho,M,09176135320,segun.iheanacho900@gmail.com,Ibadan,Oyo,R02,2023-06-15,Standard,Y
C-00076,Titilayo,Soyinka,F,09026212329,titilayo.soyinka217@gmail.com,Abeokuta,Ogun,R02,2022-05-12,Occasional,N
C-00077,Fatima,Odutola,F,08087743094,fatima.odutola381@outlook.com,Abuja,FCT,R03,2021-03-22,Occasional,N
C-00078,Abdullahi,Musa,M,07057418859,abdullahi.musa888@gmail.com,Onitsha,Anambra,R06,2024-04-28,Standard,Y
C-00079,Ayodeji,Balogun,M,09092654799,ayodeji.balogun971@hotmail.com,Lagos,Lagos,R01,2023-08-15,Standard,N
C-00080,Uche,Falana,M,07050110197,uche.falana726@yahoo.com,Abuja,FCT,R03,2021-11-06,Standard,Y
C-00081,Halima,Anyanwu,F,09062903224,halima.anyanwu436@gmail.com,Lagos,Lagos,R01,2024-02-26,Occasional,N
C-00082,Amina,Lawal,F,08163431908,amina.lawal194@hotmail.com,Enugu,Enugu,R06,2021-01-28,Standard,N
C-00083,Modupe,Ogbonna,F,09188127270,modupe.ogbonna832@gmail.com,Lagos ,Lagos,R01,2019-06-24,Standard,N
C-00084,Obinna,Soyinka,M,09081354955,obinna.soyinka992@gmail.com,Lagos,Lagos,R01,2024-10-16,Standard,Y
C-00085,Adaeze,Uzo,F,09168515946,,Benin City,Edo,R04,2024-11-08,Standard,Y
C-00086,Hauwa,Soyinka,F,08122969353,hauwa.soyinka551@outlook.com,Port Harcourt,Rivers,R04,2022-04-13,Standard,N
C-00087,Lekan,Tanimu,M,08081317132,lekan.tanimu714@gmail.com,Lagos,Lagos,R01,2025-08-11,Premium,Y
C-00088,Adaeze,Ojo,F,07092070847,adaeze.ojo664@gmail.com,lagos,Lagos,R01,2019-10-05,Occasional,N
C-00089,Ronke,Obi,F,09027793165,ronke.obi788@yahoo.com,Port Harcourt,Rivers,R04,2019-12-31,Standard,Y
C-00090,Titilayo,Musa,F,08122694603,titilayo.musa174@gmail.com,Lagos,Lagos,R01,2021-11-03,Standard,Y
C-00091,Simisola,Kalu,F,09036768990,simisola.kalu770@gmail.com,Lagos,Lagos,R01,2025-11-04,Occasional,Y
C-00092,Chinedu,Fashola,M,07055550475,chinedu.fashola776@outlook.com, Ibadan ,Oyo,R02,2025-01-18,Standard,Y
C-00093,Bello,Shehu,M,08054687664,bello.shehu640@gmail.com,Lagos,Lagos,R01,2023-05-07,Standard,N
C-00094,Modupe,Eze,F,07021785747,modupe.eze625@gmail.com,Ibadan,Oyo,R02,2021-05-28,Premium,Y
C-00095,Yusuf,Abubakar,M,07050049414,yusuf.abubakar171@hotmail.com,Abuja,FCT,R03,2025-08-18,Standard,N
C-00096,Nonso,Ojo,M,08037216580,nonso.ojo149@outlook.com,Lagos,Lagos,R01,2019-03-31,Standard,Y
C-00097,Amara,Akinwande,F,08033561184,,Lagos,Lagos,R01,2024-01-08,Occasional,N
C-00098,Kelechi,Musa,M,09043205352,kelechi.musa964@yahoo.com,Lagos,Lagos,R01,2021-08-12,Standard,Y
C-00099,Bello,Salami,M,09184189753,bello.salami457@hotmail.com,Lagos,Lagos,R01,2019-08-11,Standard,N
C-00100,Simisola,Odutola,F,09138185314,simisola.odutola938@gmail.com,Lagos,Lagos,R01,2025-04-06,Standard,Y
C-00101,Ebuka,Ojo,M,08047949399,ebuka.ojo475@hotmail.com,Abeokuta,Ogun,R02,2020-03-24,Premium,Y
C-00102,Kunle,Adeyemi,M,08094095148,kunle.adeyemi196@gmail.com,Kaduna,Kaduna,R05,2021-10-18,Standard,Y
C-00103,Zainab,Yakubu,F,09170307292,zainab.yakubu401@outlook.com,Abuja,FCT,R03,2022-11-26,Premium,Y
C-00104,Hauwa,Odutola,F,09128853585,hauwa.odutola555@gmail.com,Ibadan,Oyo,R02,2019-01-22,Standard,N
C-00105,Bisi,Sambo,F,07068849544,bisi.sambo523@gmail.com,Ibadan,Oyo,R02,2025-09-29,Occasional,Y
C-00106,Musa,Mohammed,M,08024807683,musa.mohammed797@hotmail.com,Kaduna,Kaduna,R05,2025-06-17,Standard,N
C-00107,Ayodeji,Olawale,M,09061665840,ayodeji.olawale589@outlook.com,Lagos,Lagos,R01,2020-03-27,Occasional,Y
C-00108,Dapo,Ogbonna,M,08025977073,,Lagos,Lagos,R01,2021-06-10,Occasional,Y
C-00109,Somto,Aliyu,M,09141472971,somto.aliyu253@gmail.com,Lagos,Lagos,R01,2020-09-27,Standard,Y
C-00110,Modupe,Abdulrahman,F,09161301379,modupe.abdulrahman618@yahoo.com,Lagos,Lagos,R01,2020-03-31,Standard,Y
C-00111,Funke,Ekwueme,F,08130245805,funke.ekwueme326@gmail.com,Lagos,Lagos,R01,2020-04-25,Standard,Y
C-00112,Zainab,Balogun,F,09051906990,zainab.balogun26@gmail.com,Onitsha,Anambra,R06,2019-04-25,Standard,N
C-00113,Dapo,Bakare,M,08139685832,dapo.bakare778@yahoo.com,Abeokuta,Ogun,R02,2019-03-30,Occasional,N
C-00114,Nonso,Nwachukwu,M,,nonso.nwachukwu659@outlook.com,Lagos ,Lagos,R01,2024-12-14,Standard,N
C-00115,Ngozi,Falana,F,09060510397,ngozi.falana470@outlook.com,Abuja,FCT,R03,2022-04-16,Standard,Y
C-00116,Obinna,Afolabi,M,08066057345,obinna.afolabi994@yahoo.com,Abuja,FCT,R03,2019-05-07,Occasional,Y
C-00117,Chuka,Baba,M,09073750335,,Port Harcourt,Rivers,R04,2020-11-22,Occasional,Y
C-00118,Titilayo,Olawale,F,09071717333,titilayo.olawale758@outlook.com,Port Harcourt,Rivers,R04,2025-08-24,Standard,Y
C-00119,Abdullahi,Ogunleye,M,09021754458,abdullahi.ogunleye33@outlook.com,Lagos,Lagos,R01,2025-04-22,Standard,N
C-00120,Ifeanyi,Okafor,M,07050154228,ifeanyi.okafor623@gmail.com,Kaduna,Kaduna,R05,2020-02-25,Occasional,N
C-00121,Folake,Nwachukwu,F,08186347114,folake.nwachukwu686@outlook.com,Ilorin,Kwara,R03,2021-11-05,Standard,N
C-00122,Tunde,Waziri,M,09073887742,tunde.waziri971@gmail.com,Kano,Kano,R05,2022-07-23,Occasional,N
C-00123,Ifeanyi,Abubakar,M,09126391800,ifeanyi.abubakar533@gmail.com,Kano,Kano,R05,2020-02-22,Occasional,Y
C-00124,Funke,Balogun,F,09041384920,funke.balogun857@yahoo.com,Port Harcourt,Rivers,R04,2022-03-16,Standard,N
C-00125,Bolanle,Olawale,F,08149524723,bolanle.olawale753@gmail.com,Lagos,Lagos,R01,2023-02-08,Standard,Y
C-00126,Kunle,Dauda,M,08046838794,,Lagos,Lagos,R01,2019-04-29,Premium,N
C-00127,Ijeoma,Ude,F,07035481610,ijeoma.ude467@hotmail.com,Ibadan,Oyo,R02,2025-10-05,Standard,Y
C-00128,Fatima,Igwe,F,09073372935,fatima.igwe71@gmail.com,Lagos,Lagos,R01,2022-10-29,Standard,N
C-00129,Lekan,Salami,M,09059408077,lekan.salami663@outlook.com,Kaduna,Kaduna,R05,2019-06-14,Standard,Y
C-00130,Ayodeji,Idris,M,09067801212,ayodeji.idris663@outlook.com,Abuja,FCT,R03,2023-08-15,Standard,Y
C-00131,Adaeze,Afolabi,F,09173270843,adaeze.afolabi438@gmail.com,Abuja,FCT,R03,2020-08-06,Standard,Y
C-00132,Yusuf,Hassan,M,07053456042,yusuf.hassan320@yahoo.com,Lagos,Lagos,R01,2022-09-17,Standard,N
C-00133,Bello,Afolabi,M,09145765693,bello.afolabi797@outlook.com,Ilorin,Kwara,R03,2024-09-14,Standard,N
C-00134,Bello,Onyeka,M,08196628935,bello.onyeka746@gmail.com,Lagos,Lagos,R01,2024-01-03,Occasional,Y
C-00135,Rukayat,Falana,F,07024032443,rukayat.falana576@hotmail.com,Lagos,Lagos,R01,2019-06-27,Standard,N
C-00136,Ayodeji,Fashola,M,09077609062,ayodeji.fashola485@yahoo.com,Lagos,Lagos,R01,2020-08-03,Occasional,Y
C-00137,Maryam,Falana,F,07035231306,maryam.falana384@outlook.com,Kano,Kano,R05,2022-02-09,Occasional,Y
C-00138,Chinedu,Oyelaran,M,09063393732,chinedu.oyelaran559@gmail.com,Akure,Ondo,R02,2025-10-09,Occasional,N
C-00139,Folake,Onyeka,F,08182285203,folake.onyeka633@gmail.com,Lagos,Lagos,R01,2019-11-26,Standard,N
C-00140,Modupe,Eze,F,09071402550,modupe.eze735@outlook.com,Abeokuta,Ogun,R02,2022-08-13,Occasional,N
C-00141,Segun,Mohammed,M,09051386999,segun.mohammed79@outlook.com,Lagos,Lagos,R01,2020-06-11,Standard,Y
C-00142,Somto,Obi,M,08010678588,somto.obi669@outlook.com,Kano,Kano,R05,2019-04-20,Standard,N
C-00143,Gbenga,Chikezie,M,08176310334,gbenga.chikezie420@gmail.com,Lagos,Lagos,R01,2025-04-23,Occasional,N
C-00144,Sani,Sambo,M,09145750967,sani.sambo318@gmail.com,Port Harcourt,Rivers,R04,2022-10-08,Standard,N
C-00145,Rotimi,Nnamdi,M,09131517164,rotimi.nnamdi880@yahoo.com,Kano,Kano,R05,2023-03-20,Standard,Y
C-00146,Ronke,Oladipo,F,09098649643,ronke.oladipo251@gmail.com,Port Harcourt,Rivers,R04,2021-10-23,Occasional,Y
C-00147,Tanko,Ojo,M,08147301635,tanko.ojo292@gmail.com,Lagos,Lagos,R01,2021-09-30,Standard,Y
C-00148,Kemi,Eze,F,07065617520,kemi.eze621@hotmail.com,Kaduna,Kaduna,R05,2022-03-06,Standard,N
C-00149,Dapo,Nnamdi,M,08050610811,dapo.nnamdi260@gmail.com,Ilorin,Kwara,R03,2021-09-26,Occasional,Y
C-00150,Ibrahim,Suleiman,M,09077302375,ibrahim.suleiman329@hotmail.com,Abuja,FCT,R03,2025-09-21,Occasional,Y
C-00151,Bello,Kalu,M,07072270322,bello.kalu30@yahoo.com,Ibadan,Oyo,R02,2021-02-14,Occasional,N
C-00152,Musa,Kalu,M,07035623950,musa.kalu74@yahoo.com,Benin City,Edo,R04,2024-05-31,Premium,Y
C-00153,Zainab,Ezenwa,F,08137776784,zainab.ezenwa932@gmail.com,Lagos,Lagos,R01,2023-05-08,Standard,N
C-00154,Funke,Ogbonna,F,09058078732,funke.ogbonna967@gmail.com,Onitsha,Anambra,R06,2020-01-25,Standard,Y
C-00155,Dapo,Chukwu,M,08012832800,dapo.chukwu919@hotmail.com,Lagos,Lagos,R01,2022-06-24,Standard,Y
C-00156,Kunle,Olawale,M,09193017531,kunle.olawale27@hotmail.com,Benin City,Edo,R04,2020-06-10,Occasional,N
C-00157,Safiya,Nnamdi,F,09133866257,safiya.nnamdi973@hotmail.com,Lagos,Lagos,R01,2024-08-18,Occasional,Y
C-00158,Gbenga,Shehu,M,09173372741,,Lagos,Lagos,R01,2020-03-13,Standard,N
C-00159,Oluchi,Ojo,F,09099046480,oluchi.ojo24@gmail.com,Port Harcourt,Rivers,R04,2024-04-16,Standard,N
C-00160,Adaeze,Danjuma,F,08014823604,adaeze.danjuma309@gmail.com,Port Harcourt,Rivers,R04,2019-07-01,Standard,N
C-00161,Chinedu,Bakare,M,09138528244,chinedu.bakare425@outlook.com,Kaduna,Kaduna,R05,2021-05-05,Standard,Y
C-00162,Obinna,Falana,M,08039713782,obinna.falana91@gmail.com,Akure,Ondo,R02,2024-12-04,Occasional,N
C-00163,Dapo,Ogunleye,M,08131774810,dapo.ogunleye612@gmail.com,Lagos,Lagos,R01,2020-05-12,Occasional,N
C-00164,Funke,Iheanacho,F,07082192213,funke.iheanacho631@gmail.com,Lagos,Lagos,R01,2022-11-19,Occasional,N
C-00165,Modupe,Adebayo,F,09121052679,modupe.adebayo338@yahoo.com,Abuja,FCT,R03,2019-09-08,Occasional,Y
C-00166,Somto,Lawal,M,09183100358,somto.lawal628@gmail.com,Port Harcourt,Rivers,R04,2020-09-01,Standard,Y
C-00167,Kunle,Okonkwo,M,09089662254,kunle.okonkwo537@gmail.com,Port Harcourt,Rivers,R04,2022-07-13,Standard,Y
C-00168,Oluchi,Bello,F,09063134124,oluchi.bello759@outlook.com,Kaduna,Kaduna,R05,2019-07-05,Standard,N
C-00169,Segun,Afolabi,M,08054108992,segun.afolabi562@gmail.com,Benin City,Edo,R04,2023-06-10,Standard,N
C-00170,Chinedu,Soyinka,M,07027584915,chinedu.soyinka21@gmail.com,Lagos,Lagos,R01,2023-09-10,Occasional,Y
C-00171,Bello,Akinwande,M,09192007642,bello.akinwande33@yahoo.com,Abuja,FCT,R03,2019-04-12,Standard,Y
C-00172,Oluchi,Tanimu,F,09153641782,oluchi.tanimu796@gmail.com,Ibadan,Oyo,R02,2024-08-26,Standard,Y
C-00173,Ebuka,Abdulrahman,M,09198232480,ebuka.abdulrahman668@gmail.com,Abuja,FCT,R03,2019-09-11,Premium,Y
C-00174,Rotimi,Tanimu,M,09195267575,rotimi.tanimu343@gmail.com,Lagos,Lagos,R01,2020-07-06,Occasional,Y
C-00175,Amara,Kalu,F,09073034230,amara.kalu209@yahoo.com,Abuja,FCT,R03,2019-04-07,Standard,Y
C-00176,Oluchi,Garba,F,09037857105,oluchi.garba130@outlook.com,Abuja,FCT,R03,2019-04-18,Occasional,Y
C-00177,Folake,Ude,F,09117919109,folake.ude839@hotmail.com,Lagos,Lagos,R01,2020-08-20,Standard,Y
C-00178,Modupe,Adeyemi,F,09199213744,modupe.adeyemi984@gmail.com,Enugu,Enugu,R06,2021-05-20,Standard,N
C-00179,Bello,Baba,M,07057818374,bello.baba73@yahoo.com,Lagos,Lagos,R01,2019-09-14,Occasional,Y
C-00180,Adanna,Adeyemi,F,09047883909,adanna.adeyemi356@gmail.com,Ibadan,Oyo,R02,2021-01-27,Standard,Y
C-00181,Rotimi,Tanimu,M,07066125697,rotimi.tanimu726@gmail.com,Port Harcourt,Rivers,R04,2020-03-03,Occasional,Y
C-00182,Yetunde,Oyelaran,F,08082318055,yetunde.oyelaran372@hotmail.com,Onitsha,Anambra,R06,2019-07-18,Occasional,Y
C-00183,Halima,Iheanacho,F,08147088272,halima.iheanacho490@gmail.com,Lagos,Lagos,R01,2022-08-31,Occasional,N
C-00184,Modupe,Shehu,F,07039359060,,Lagos,Lagos,R01,2024-02-19,Occasional,Y
C-00185,Usman,Ude,M,09065226345,usman.ude396@outlook.com,Lagos,Lagos,R01,2024-07-31,Standard,N
C-00186,Safiya,Afolabi,F,09136667365,safiya.afolabi531@yahoo.com,Abuja,FCT,R03,2019-08-24,Premium,Y
C-00187,Kunle,Garba,M,07051387063,kunle.garba468@hotmail.com,Lagos,Lagos,R01,2025-08-17,Standard,Y
C-00188,Chiamaka,Iheanacho,F,08090203147,chiamaka.iheanacho137@hotmail.com,Enugu,Enugu,R06,2021-07-07,Standard,Y
C-00189,Fatima,Anyanwu,F,09091653467,fatima.anyanwu944@hotmail.com,Lagos,Lagos,R01,2022-09-03,Standard,N
C-00190,Chidinma,Waziri,F,08095366925,chidinma.waziri432@outlook.com,Lagos,Lagos,R01,2019-11-10,Premium,Y
C-00191,Emeka,Ogundipe,M,08027808137,emeka.ogundipe307@outlook.com,Abuja,FCT,R03,2023-02-28,Standard,Y
C-00192,Abdullahi,Ude,M,08090888970,abdullahi.ude733@gmail.com,Benin City,Edo,R04,2025-10-30,Occasional,N
C-00193,Ngozi,Adebayo,F,07015979894,ngozi.adebayo659@gmail.com,Kaduna,Kaduna,R05,2025-03-05,Standard,Y
C-00194,Kunle,Tanimu,M,08097950032,kunle.tanimu912@gmail.com,Enugu,Enugu,R06,2021-08-15,Standard,Y
C-00195,Ikenna,Chukwu,M,08146537681,ikenna.chukwu61@gmail.com,Port Harcourt,Rivers,R04,2022-01-01,Occasional,N
C-00196,Maryam,Soyinka,F,08161070386,maryam.soyinka564@gmail.com,Enugu,Enugu,R06,2024-06-19,Standard,Y
C-00197,Safiya,Oladipo,F,08148957496,safiya.oladipo617@gmail.com, Kano ,Kano,R05,2021-08-22,Standard,N
C-00198,Ibrahim,Shehu,M,08174371676,ibrahim.shehu458@gmail.com,Lagos,Lagos,R01,2024-01-02,Occasional,Y
C-00199,Ibrahim,Iheanacho,M,09188101726,ibrahim.iheanacho954@outlook.com,Port Harcourt,Rivers,R04,2024-09-04,Occasional,N
C-00200,Sani,Adebayo,M,09076918832,sani.adebayo622@hotmail.com,Benin City,Edo,R04,2022-02-12,Occasional,N
C-00201,Ebuka,Ojo,M,09054458680,ebuka.ojo270@yahoo.com,Lagos,Lagos,R01,2021-01-12,Standard,Y
C-00202,Chiamaka,Ojo,F,08128423250,chiamaka.ojo969@gmail.com,Kano,Kano,R05,2019-11-05,Occasional,Y
C-00203,Simisola,Onyeka,F,09024598552,simisola.onyeka69@yahoo.com,Port Harcourt,Rivers,R04,2020-06-06,Standard,N
C-00204,Adaeze,Shehu,F,08063295924,adaeze.shehu674@hotmail.com,Port Harcourt,Rivers,R04,2024-12-10,Premium,N
C-00205,Femi,Iheanacho,M,09132597512,femi.iheanacho259@gmail.com,Lagos,Lagos,R01,2025-07-27,Standard,Y
C-00206,Ifeanyi,Anyanwu,M,09054310724,ifeanyi.anyanwu298@yahoo.com,Kano,Kano,R05,2020-03-02,Occasional,N
C-00207,Nonso,Mohammed,M,09091218526,nonso.mohammed657@gmail.com,Onitsha,Anambra,R06,2022-12-03,Standard,Y
C-00208,Usman,Hassan,M,08034842469,usman.hassan393@hotmail.com,Lagos,Lagos,R01,2023-11-13,Occasional,Y
C-00209,Modupe,Nwachukwu,F,08159463364,modupe.nwachukwu751@gmail.com,Abuja,FCT,R03,2019-08-15,Occasional,Y
C-00210,Uche,Akinwande,M,07036091392,uche.akinwande698@yahoo.com,Lagos ,Lagos,R01,2024-03-11,Occasional,Y
C-00211,Ronke,Baba,F,08040503768,,Lagos,Lagos,R01,2024-04-18,Standard,Y
